,ref_id,breed_id,type,website,created_at,updated_at,city,state,bwh,club,parent_club,specialty_club,licensed_club,bloodline,small_size,medium_size,large_size,breed_options,males,females,expected_date,birth,age,breed
28,256253,41,listing,/breeder/banderaboerboels/boerboel/256253,2021-03-09 18:40:46,2021-03-10 18:31:56,Redmond,WA,,1,1,0,0,1,0,0,1,,5,6,,2021-02-03,10 weeks old,boerboel
29,6376,65,coming-soon,/breeder/susan-benton-69536/cavalier-king-charles-spaniel/coming-soon,2018-11-09 11:47:11,2020-12-09 21:38:31,Kirkland,WA,1,1,1,1,0,0,1,0,0,,0,0,2021-06-01,,,cavalier-king-charles-spaniel
30,94707,57,storefront,/breeder/cascade-bulldogs?source_breed=bulldog,2020-04-26 22:38:43,2020-04-26 22:50:40,Preston,WA,,1,1,1,0,0,0,1,0,,0,0,,,,bulldog
31,1884,57,coming-soon,/breeder/englishbulldogswa/bulldog/coming-soon,2015-11-13 22:03:22,2021-04-10 16:46:37,Kirkland,WA,,1,1,1,1,0,0,1,0,,0,0,2021-06-30,,,bulldog
32,8955,41,coming-soon,/breeder/paragonboerboels/boerboel/coming-soon,2019-06-18 13:29:49,2021-03-29 11:08:13,Seattle,WA,,1,1,0,0,0,0,0,1,,0,0,2021-04-15,,,boerboel
33,92601,263,storefront,/breeder/eline-t-92601?source_breed=dachshund,2020-03-04 23:05:35,2021-03-13 16:12:01,Seattle,WA,,1,1,1,0,0,1,0,0,,0,0,,,,dachshund
34,102838,218,storefront,/breeder/alibi-sealyham-terriers?source_breed=sealyham-terrier,2021-02-07 03:05:42,2021-02-07 18:42:39,Seattle,WA,1,1,1,0,0,0,1,0,0,,0,0,,,,sealyham-terrier
35,102711,117,storefront,/breeder/norberge-german-shepherds?source_breed=german-shepherd-dog,2021-02-03 23:02:02,2021-02-04 00:23:12,Snohomish,WA,,1,1,1,0,0,0,0,1,,0,0,,,,german-shepherd-dog
36,257599,53,listing,/breeder/carrae-brittanys/brittany/257599,2021-03-22 11:36:30,2021-04-14 22:12:43,Everett,WA,1,1,1,1,0,1,0,1,0,,1,0,,2021-02-05,9 weeks old,brittany
37,36411,209,storefront,/breeder/OstenbergRottweilers?source_breed=rottweiler,2016-08-16 21:07:20,2020-08-26 09:19:43,Snohomish,WA,1,1,1,1,0,0,0,0,1,,0,0,,,,rottweiler
38,90628,127,storefront,/breeder/sage-river-farm?source_breed=great-pyrenees,2020-01-21 23:39:39,2021-01-26 16:19:16,Snohomish,WA,,1,1,0,0,0,0,0,1,,0,0,,,,great-pyrenees
39,27658,4,storefront,/breeder/torii-no-akita?source_breed=akita,2015-12-18 21:32:55,2020-05-20 15:51:59,Auburn,WA,,1,1,1,0,0,0,0,1,,0,0,,,,akita
40,1596,218,coming-soon,/breeder/karin-parish-57568/sealyham-terrier/coming-soon,2018-01-29 03:18:45,2021-02-25 14:03:43,Clinton,WA,1,1,1,1,0,0,1,0,0,,0,0,2021-10-20,,,sealyham-terrier
41,45984,18,storefront,/breeder/linda-reau-45984?source_breed=australian-shepherd,2017-05-08 09:19:15,2020-08-04 12:38:40,Enumclaw,WA,1,1,1,0,0,0,0,1,0,,0,0,,,,australian-shepherd
42,67621,5,storefront,/breeder/blumoonmals?source_breed=alaskan-malamute,2018-09-22 18:43:42,2020-10-23 23:41:31,Bonney Lake,WA,,1,1,0,1,0,0,0,1,,0,0,,,,alaskan-malamute
43,95649,128,storefront,/breeder/wwwtffarmscomhttpsmarketplaceakcorgbreederwwwtffarmscom?source_breed=greater-swiss-mountain-dog,2020-06-05 21:02:44,2021-02-19 15:16:55,Arlington,WA,1,1,1,1,0,0,0,0,1,,0,0,,,,greater-swiss-mountain-dog
44,44562,206,storefront,/breeder/dhart-kennels?source_breed=rat-terrier,2017-03-30 15:26:34,2020-12-23 18:10:28,Gig Harbor,WA,,1,1,1,0,0,1,0,0,,0,0,,,,rat-terrier
45,44562,267,storefront,/breeder/dhart-kennels?source_breed=bouvier-des-flandres,2017-03-30 15:26:34,2020-12-23 18:10:28,Gig Harbor,WA,,1,1,1,0,0,0,0,1,,0,0,,,,bouvier-des-flandres
46,8209,179,coming-soon,/breeder/squarecote/old-english-sheepdog/coming-soon,2020-02-08 16:37:26,2021-03-13 10:59:28,Seabeck,WA,,1,1,1,0,0,0,0,1,,0,0,2022-06-12,,,old-english-sheepdog
47,96197,21,storefront,/breeder/prismatic?source_breed=barbet,2020-07-03 05:42:24,2020-07-27 02:24:39,Quilcene,WA,,1,1,1,1,0,0,1,0,,0,0,,,,barbet
48,96197,265,storefront,/breeder/prismatic?source_breed=bichon-frise,2020-07-03 05:42:24,2020-07-27 02:24:39,Quilcene,WA,,1,1,1,1,0,1,0,0,,0,0,,,,bichon-frise
49,27554,21,storefront,/breeder/AstarteBarbets?source_breed=barbet,2015-12-17 18:49:48,2021-03-17 14:31:24,Greenbank,WA,1,1,1,1,0,0,0,1,0,,0,0,,,,barbet
50,73728,41,storefront,/breeder/platinum-boerboels?source_breed=boerboel,2019-02-17 03:50:23,2020-12-27 11:44:14,Spanaway,WA,,1,1,0,1,0,0,0,1,,0,0,,,,boerboel
51,53000,164,storefront,/breeder/lisa-hansen-53000?source_breed=miniature-american-shepherd,2017-10-10 19:02:34,2020-12-27 12:06:09,Spanaway,WA,,1,1,0,1,0,1,0,0,,0,0,,,,miniature-american-shepherd
52,74245,123,storefront,/breeder/bigrockgoldens?source_breed=golden-retriever,2019-03-02 00:37:10,2020-04-04 17:09:15,Sammamish,WA,1,,0,0,0,0,0,0,1,,0,0,,,,golden-retriever
53,252190,153,listing,/breeder/woods-creek-labradors/labrador-retriever/252190,2021-02-01 15:13:24,2021-02-16 11:00:05,Snohomish,WA,1,,0,1,0,1,0,1,0,black,3,2,,2021-01-28,11 weeks old,labrador-retriever
54,84425,113,storefront,/breeder/michelle-brediger-84425?source_breed=french-bulldog,2019-09-23 17:38:58,2021-02-16 18:20:48,Marysville,WA,1,,0,0,0,0,1,0,0,,0,0,,,,french-bulldog
55,251381,18,listing,/breeder/bfl-aussies/australian-shepherd/251381,2021-01-25 14:03:00,2021-02-22 02:16:06,Marysville,WA,1,,0,0,0,0,0,1,0,,4,3,,2021-01-22,11 weeks old,australian-shepherd
56,13011,18,coming-soon,/breeder/bfl-aussies/australian-shepherd/coming-soon,2021-01-25 14:03:00,2021-03-28 02:45:09,Marysville,WA,1,,0,0,0,0,0,1,0,,0,0,2021-06-04,,,australian-shepherd
57,8237,117,coming-soon,/breeder/lisa-ridens-36286/german-shepherd-dog/coming-soon,2016-08-12 18:17:34,2021-04-12 03:01:37,Port Orchard,WA,1,,0,0,0,0,0,0,1,,0,0,2021-06-30,,,german-shepherd-dog
